Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size
1,1,05/02/2010,24924.5,False,A,151315
1,1,12/02/2010,46039.49,True,A,151315
1,1,19/02/2010,41595.55,False,A,151315
1,1,26/02/2010,19403.54,False,A,151315
1,1,05/03/2010,21827.9,False,A,151315
1,1,12/03/2010,21043.39,False,A,151315
1,1,19/03/2010,22136.64,False,A,151315
1,1,26/03/2010,26229.21,False,A,151315
1,1,02/04/2010,57258.43,False,A,151315
1,1,09/04/2010,42960.91,False,A,151315
1,1,16/04/2010,17596.96,False,A,151315
1,1,23/04/2010,16145.35,False,A,151315
1,1,30/04/2010,16555.11,False,A,151315
1,1,07/05/2010,17413.94,False,A,151315
1,1,14/05/2010,18926.74,False,A,151315
1,1,21/05/2010,14773.04,False,A,151315
1,1,28/05/2010,15580.43,False,A,151315
1,1,04/06/2010,17558.09,False,A,151315
1,1,11/06/2010,16637.62,False,A,151315
1,1,18/06/2010,16216.27,False,A,151315
1,1,25/06/2010,16328.72,False,A,151315
1,1,02/07/2010,16333.14,False,A,151315
1,1,09/07/2010,17688.76,False,A,151315
1,1,16/07/2010,17150.84,False,A,151315
1,1,23/07/2010,15360.45,False,A,151315
1,1,30/07/2010,15381.82,False,A,151315
1,1,06/08/2010,17508.41,False,A,151315
1,1,13/08/2010,15536.4,False,A,151315
1,1,20/08/2010,15740.13,False,A,151315
1,1,27/08/2010,15793.87,False,A,151315
1,1,03/09/2010,16241.78,False,A,151315
1,1,10/09/2010,18194.74,True,A,151315
1,1,17/09/2010,19354.23,False,A,151315
1,1,24/09/2010,18122.52,False,A,151315
1,1,01/10/2010,20094.19,False,A,151315
1,1,08/10/2010,23388.03,False,A,151315
1,1,15/10/2010,26978.34,False,A,151315
1,1,22/10/2010,25543.04,False,A,151315
1,1,29/10/2010,38640.93,False,A,151315
1,1,05/11/2010,34238.88,False,A,151315
1,1,12/11/2010,19549.39,False,A,151315
1,1,19/11/2010,19552.84,False,A,151315
1,1,26/11/2010,18820.29,True,A,151315
1,1,03/12/2010,22517.56,False,A,151315
1,1,10/12/2010,31497.65,False,A,151315
1,1,17/12/2010,44912.86,False,A,151315
1,1,24/12/2010,55931.23,False,A,151315
1,1,31/12/2010,19124.58,True,A,151315
1,1,07/01/2011,15984.24,False,A,151315
1,1,14/01/2011,17359.7,False,A,151315
1,1,21/01/2011,17341.47,False,A,151315
1,1,28/01/2011,18461.18,False,A,151315
1,1,04/02/2011,21665.76,False,A,151315
1,1,11/02/2011,37887.17,True,A,151315
1,1,18/02/2011,46845.87,False,A,151315
1,1,25/02/2011,19363.83,False,A,151315
1,1,04/03/2011,20327.61,False,A,151315
1,1,11/03/2011,21280.4,False,A,151315
1,1,18/03/2011,20334.23,False,A,151315
1,1,25/03/2011,20881.1,False,A,151315
1,1,01/04/2011,20398.09,False,A,151315
1,1,08/04/2011,23873.79,False,A,151315
1,1,15/04/2011,28762.37,False,A,151315
1,1,22/04/2011,50510.31,False,A,151315
